food_id,food_name,restaurant_id,description,category,veg_nonveg,ingredients,dish_type,popular_in,price_level,food_rating
F1158,Idli,11,Steamed rice cake served at Hotel Grand Garden. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Gandhipuram,₹,3.32
F1159,Dosa,13,Crispy pancake served at Hotel Flavours Bhurma. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Singanallur,₹,4.61
F1160,Paneer Butter Masala,40,Creamy paneer curry served at Hotel Annapoorna Palace. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,Gandhipuram,₹₹,4.29
F1161,Falooda,41,Layered sweet dessert drink served at Hotel Zaiqa Point. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,RS Puram,₹₹,3.5
F1162,Chicken Biryani,48,Fragrant spiced rice with chicken served at Hotel Flavours Palace. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Singanallur,₹₹₹,4.43
F1163,Chicken Biryani,44,Fragrant spiced rice with chicken served at Hotel Delight Point. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Saibaba Colony,₹₹₹,3.68
F1164,Mutton Korma,9,Rich mutton gravy served at Hotel Flavours Hub. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Gandhipuram,₹₹₹,3.97
F1165,Paneer Butter Masala,7,Creamy paneer curry served at Hotel Darshini Hub. Delicious and popular.,Main Course,Veg,"paneer,tomato,cream,butter",North Indian,Saibaba Colony,₹₹,4.67
F1166,Chicken Biryani,16,Fragrant spiced rice with chicken served at Hotel Aroma Hub. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Saibaba Colony,₹₹₹,4.64
F1167,Mutton Korma,6,Rich mutton gravy served at Hotel Flavours Hub. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Peelamedu,₹₹₹,3.38
F1168,Vada,41,Crispy fried savory donut served at Hotel Zaiqa Point. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Saibaba Colony,₹,3.25
F1169,Idli,24,Steamed rice cake served at Hotel Aroma Bhurma. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Singanallur,₹,3.94
F1170,Butter Naan,19,Soft leavened bread served at Hotel Royal Garden. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Singanallur,₹,3.27
F1171,Dosa,25,Crispy pancake served at Hotel Flavours Cafe. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Gandhipuram,₹,4.72
F1172,Dosa,13,Crispy pancake served at Hotel Flavours Bhurma. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Gandhipuram,₹,4.25
F1173,Fish Curry,49,Spicy fish curry served at Hotel Spice Corner. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Gandhipuram,₹₹,4.15
F1174,Dosa,41,Crispy pancake served at Hotel Zaiqa Point. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Singanallur,₹,3.64
F1175,Falooda,6,Layered sweet dessert drink served at Hotel Flavours Hub. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Singanallur,₹₹,4.57
F1176,Pongal,50,Savory rice porridge served at Hotel Annapoorna Stage. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Saibaba Colony,₹,3.76
F1177,Falooda,6,Layered sweet dessert drink served at Hotel Flavours Hub. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Saibaba Colony,₹₹,3.36
F1178,Vada,47,Crispy fried savory donut served at Hotel Royal Point. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Saibaba Colony,₹,3.45
F1179,Falooda,42,Layered sweet dessert drink served at Hotel Royal Corner. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Saibaba Colony,₹₹,3.55
F1180,Mutton Korma,15,Rich mutton gravy served at Hotel Darshini Palace. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Saibaba Colony,₹₹₹,4.79
F1181,Parotta,15,Layered flatbread served at Hotel Darshini Palace. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Gandhipuram,₹,4.61
F1182,Idli,44,Steamed rice cake served at Hotel Delight Point. Delicious and popular.,Breakfast,Veg,"rice,urad dal",South Indian,Gandhipuram,₹,4.11
F1183,Dosa,36,Crispy pancake served at Hotel Sri Krishna Roof. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Gandhipuram,₹,4.36
F1184,Parotta,4,Layered flatbread served at Hotel Flavours Court. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Saibaba Colony,₹,4.72
F1185,Chicken Biryani,23,Fragrant spiced rice with chicken served at Hotel Spice Court. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Ukkadam,₹₹₹,4.91
F1186,Butter Naan,28,Soft leavened bread served at Hotel Aroma Bhurma. Delicious and popular.,Main Course,Veg,"wheat,yeast,butter",North Indian,Ukkadam,₹,4.72
F1187,Fish Curry,13,Spicy fish curry served at Hotel Flavours Bhurma. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Gandhipuram,₹₹,4.3
F1188,Mutton Korma,14,Rich mutton gravy served at Hotel Grand Garden. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Gandhipuram,₹₹₹,4.11
F1189,Vada,46,Crispy fried savory donut served at Hotel Sri Krishna Bhurma. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Race Course,₹,4.22
F1190,Dosa,41,Crispy pancake served at Hotel Zaiqa Point. Delicious and popular.,Breakfast,Veg,"rice,urad dal,fenugreek",South Indian,Singanallur,₹,3.22
F1191,Vada,33,Crispy fried savory donut served at Hotel Grand Stage. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Singanallur,₹,3.8
F1192,Parotta,35,Layered flatbread served at Hotel Grand Stage. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Gandhipuram,₹,3.86
F1193,Chicken Biryani,34,Fragrant spiced rice with chicken served at Hotel Aroma Stage. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Race Course,₹₹₹,3.48
F1194,Mutton Korma,2,Rich mutton gravy served at Hotel Spice Hub. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,RS Puram,₹₹₹,4.95
F1195,Chicken Biryani,38,Fragrant spiced rice with chicken served at Hotel Aroma Corner. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Peelamedu,₹₹₹,4.5
F1196,Pongal,49,Savory rice porridge served at Hotel Spice Corner. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Race Course,₹,4.9
F1197,Falooda,45,Layered sweet dessert drink served at Hotel Darshini Roof. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,Singanallur,₹₹,3.46
F1198,Pongal,45,Savory rice porridge served at Hotel Darshini Roof. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Saibaba Colony,₹,4.89
F1199,Vada,38,Crispy fried savory donut served at Hotel Aroma Corner. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Saibaba Colony,₹,4.59
F1200,Pongal,47,Savory rice porridge served at Hotel Royal Point. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Race Course,₹,4.03
